id_ligne,id_ticket,date_vente,id_client,nom_client,ville_client,segment_client,id_produit,designation,categorie,quantite,prix_unitaire
1,T-1001,2023-02-14,41,SARL Faso Batiment,Ouagadougou,Argent,12,Ciment CPJ45 50 kg,Materiaux,40,4800
2,T-1002,2023-03-02,41,SARL Faso Batiment,Ouagadougou,Argent,12,Ciment CPJ45 50 kg,Materiaux,25,4800
3,T-1003,2023-06-19,41,SARL Faso Batiment,Bobo-Dioulasso,Argent,7,Peinture acrylique 20 l,PEINTURE,6,21500
4,T-1004,2024-01-08,41,SARL Faso Batiment,Bobo-Dioulasso,Or,7,Peinture acrylique 20 l,Peinture,4,23900
5,T-1005,2024-02-11,58,Quincaillerie du Sahel,Koudougou,Standard,7,Peinture acrylique 20 l,peinture,3,23900
6,T-1006,2024-02-11,58,Quincaillerie du Sahel,Koudougou,Standard,19,Tole bac alu 6 m,Materiaux,12,9400
7,T-1007,2024-05-30,58,Quincaillerie du Sahel,Koudougou,Standard,19,Tole bac alu 6 m,MATÉRIAUX,8,9600
8,T-1008,2024-09-04,63,Entreprise Zongo,Kaya,Argent,31,Cable electrique 2,5 mm,Electricité,120,1150
9,T-1009,2025-01-15,63,Entreprise Zongo,Kaya,Argent,31,Cable electrique 2,5 mm,Electricité,80,1210
10,T-1010,2025-01-15,63,Entreprise Zongo,Kaya,Or,44,Tube PVC 100 mm,Plomberie,30,5400
11,T-1011,2025-04-22,71,GIE Wende,Ouagadougou,Standard,44,Tube PVC 100 mm,Plomberie,45,5400
12,T-1012,2025-04-22,71,GIE Wende,Ouagadougou,Standard,52,Disjoncteur 32 A,quincaillerie,24,3250
13,T-1013,2025-08-07,71,GIE Wende,Ouagadougou,Argent,52,Disjoncteur 32 A,QUINCAILLERIE,18,3250
14,T-1014,2025-11-12,77,COOPAC Nord,Ouahigouya,Standard,60,Brouette renforcee,Quincaillerie,5,27000
15,T-1015,2026-01-20,77,COOPAC Nord,Ouahigouya,Standard,66,Machette agricole,quincaillerie,60,2100
16,T-1016,2026-02-03,77,COOPAC Nord,Ouahigouya,Standard,66,Machette agricole,Quincaillerie,40,2100
17,T-1017,2026-03-11,84,SARL Nabonswendé,Ouagadougou,Argent,73,Vernis bois 5 l,Peintures,10,14500
18,T-1018,2026-04-02,84,SARL Nabonswendé,Ouagadougou,Argent,73,Vernis bois 5 l,Peinture,6,14500
